,total_length,start_time,bifurcation
1,1565211,1484773,866
2,1438443,5559521,199
3,1399324,9094248,384
4,1735692,13620211,1025.5
5,1458754,1191159,1276.5
6,1496013,4894408,1334
7,1429002,12952110,1099
8,1531220,17109710,200
9,1373957,1176969,538.5
10,1400749,4218092,1111
11,1427657,8439167,239.5
12,1660659,12000792,764
13,1415000,3769776,291
14,1475856,11198989,162
15,1441088,14739963,728
16,1651027,8152601,62.5
17,1528093,2420400,1766
18,1427012,13100732,277.5
19,1412466,16466028,232.5
20,1446167,20483338,1116
21,1431662,4142082,459
22,1463208,11668211,204.5
23,1393299,14896451,494
24,1458456,18833071,1331
25,1495947,22727258,1211
26,1421695,4276280,226
27,1449134,7631039,501.5
28,1434455,11093034,1599
29,1460461,15333190,604
30,1803655,19246642,161
31,1466664,2093631,895
32,1442891,5015379,1637.5
33,1589862,18691660,174.5
34,1427801,22178537,283
35,1460849,25660158,558
36,1402866,7460974,306
37,1436806,11751983,245
38,1394921,14903567,915
39,1453930,6090233,418
40,1429273,10154471,1089
41,1470806,13470459,1859
42,1525543,2342271,205
43,1391130,5412765,862.5
44,1468586,9745048,1020